    FCST_HR      23/00Z     24/00Z     25/00Z     26/00Z
0       0.0   24.450934  11.677241  24.685397  12.857421
1       6.0   25.699696  21.614241  12.194955        NaN
2      12.0   26.026660  38.071328  40.940073        NaN
3      18.0   45.508930  78.990178        NaN        NaN
4      24.0   65.935720  70.144547        NaN        NaN
5      30.0   10.702555  89.304898        NaN        NaN
6      36.0   42.184861  71.272475        NaN        NaN
7      42.0   59.220299  79.415062        NaN        NaN
8      48.0  127.783979        NaN        NaN        NaN
9      54.0  156.534880        NaN        NaN        NaN
10     60.0  176.755106        NaN        NaN        NaN
