    FCST_HR      23/00Z     24/00Z     25/00Z     26/00Z        mean
0       0.0   24.450934  11.677241  24.685397  12.857421   18.417748
1       6.0   25.699696  21.614241  12.194955        NaN   19.836297
2      12.0   26.026660  38.071328  40.940073        NaN   35.012687
3      18.0   45.508930  78.990178        NaN        NaN   62.249554
4      24.0   65.935720  70.144547        NaN        NaN   68.040133
5      30.0   10.702555  89.304898        NaN        NaN   50.003726
6      36.0   42.184861  71.272475        NaN        NaN   56.728668
7      42.0   59.220299  79.415062        NaN        NaN   69.317680
8      48.0  127.783979        NaN        NaN        NaN  127.783979
9      54.0  156.534880        NaN        NaN        NaN  156.534880
10     60.0  176.755106        NaN        NaN        NaN  176.755106
