    FCST_HR      28/00Z     29/00Z    30/00Z
0       0.0   17.481279  16.863426  9.031660
1       6.0   29.281495   6.004526  7.259971
2      12.0   48.471439  16.756023  7.800108
3      18.0   78.055262  11.266783       NaN
4      24.0   95.902443   9.031660       NaN
5      30.0  115.375286  27.813445       NaN
6      36.0  103.606195   7.800108       NaN
7      42.0  103.874272        NaN       NaN
8      48.0   83.215846        NaN       NaN
9      54.0  102.058035        NaN       NaN
10     60.0   38.916870        NaN       NaN
