    FCST_HR      28/00Z     29/00Z    30/00Z        mean
0       0.0   17.481279  16.863426  9.031660   14.458788
1       6.0   29.281495   6.004526  7.259971   14.181997
2      12.0   48.471439  16.756023  7.800108   24.342523
3      18.0   78.055262  11.266783       NaN   44.661022
4      24.0   95.902443   9.031660       NaN   52.467051
5      30.0  115.375286  27.813445       NaN   71.594366
6      36.0  103.606195   7.800108       NaN   55.703151
7      42.0  103.874272        NaN       NaN  103.874272
8      48.0   83.215846        NaN       NaN   83.215846
9      54.0  102.058035        NaN       NaN  102.058035
10     60.0   38.916870        NaN       NaN   38.916870
