    FCST_HR     06/00Z     07/00Z     08/00Z     09/00Z      10/00Z      11/00Z     12/00Z     13/00Z       mean
0       0.0  27.643849  13.036415   4.306618   3.548369    7.632883    3.308052   7.496169   3.401218   8.796697
1       6.0  20.932614   3.331731   7.158273   9.281319    6.975966   11.472530  13.116155  12.085369  10.544245
2      12.0  21.807968  39.055970  21.124574   0.705301   25.140216   18.483370  15.823523   4.722228  18.357894
3      18.0  17.087995  41.345209   9.006789  25.304717   27.126867    8.259766   2.731943   9.006789  17.483760
4      24.0  13.036415  37.351376  36.786654  27.913856   16.254432    7.496169  25.350389   8.480791  21.583760
5      30.0  18.071480  45.596959  56.706573  21.203560   33.630848    8.134333  23.846884   6.596100  26.723342
6      36.0  21.446058  51.083210  48.095797  17.909763   22.280594    7.277817  15.738054        NaN  26.261613
7      42.0  32.756962  56.876848  49.413237  22.612601   17.480249   15.258371  24.018104        NaN  31.202339
8      48.0  47.045574  47.207960  48.650930  12.088983   20.756804   45.162977  23.564548        NaN  34.925396
9      54.0  41.460042  52.125779  34.864461  11.472530   26.709038   48.055501  17.985135        NaN  33.238927
10     60.0  54.798923  45.039441  31.077610  18.483370   36.262014   75.206534        NaN        NaN  43.477982
11     66.0  42.875953  45.121228  26.448428  31.332543   60.107865   99.074680        NaN        NaN  50.826783
12     72.0  59.536563  27.913856  36.241396  48.527575   90.132856  126.551738        NaN        NaN  64.817331
13     78.0  66.329953  34.864461  40.574579  54.320757  108.090113  137.706669        NaN        NaN  73.647755
14     84.0  68.840028  16.859621  61.697617  66.178671  135.185876         NaN        NaN        NaN  69.752363
15     90.0  78.928032  10.860832  73.758118  90.109798  174.131255         NaN        NaN        NaN  85.557607
16     96.0  81.664687  18.067154        NaN        NaN         NaN         NaN        NaN        NaN  49.865921
17    102.0  81.214835  34.838123        NaN        NaN         NaN         NaN        NaN        NaN  58.026479
18    108.0  81.080296  78.169393        NaN        NaN         NaN         NaN        NaN        NaN  79.624844
19    114.0  87.374340  79.297781        NaN        NaN         NaN         NaN        NaN        NaN  83.336061
