    FCST_HR      18/00Z     19/00Z     20/00Z     21/00Z
0       0.0    8.090166   6.083068  18.116489  25.977598
1       6.0   15.104008  10.974361  31.267386  27.018485
2      12.0   10.025661   9.846688  12.537124  31.628524
3      18.0   31.630451   6.038858  46.250053        NaN
4      24.0   50.546400  18.116489  48.737902        NaN
5      30.0   33.646828  15.629106  38.091124        NaN
6      36.0   32.416739  26.433780        NaN        NaN
7      42.0   17.851022  32.193804        NaN        NaN
8      48.0   18.116489  28.261462        NaN        NaN
9      54.0   28.817368  50.362402        NaN        NaN
10     60.0   55.163579  54.666921        NaN        NaN
11     66.0   59.684200        NaN        NaN        NaN
12     72.0   72.533632        NaN        NaN        NaN
13     78.0  111.489893        NaN        NaN        NaN
14     84.0  134.806888        NaN        NaN        NaN
