    FCST_HR      18/00Z     19/00Z     20/00Z     21/00Z        mean
0       0.0    8.090166   6.083068  18.116489  25.977598   14.566830
1       6.0   15.104008  10.974361  31.267386  27.018485   21.091060
2      12.0   10.025661   9.846688  12.537124  31.628524   16.009499
3      18.0   31.630451   6.038858  46.250053        NaN   27.973121
4      24.0   50.546400  18.116489  48.737902        NaN   39.133597
5      30.0   33.646828  15.629106  38.091124        NaN   29.122353
6      36.0   32.416739  26.433780        NaN        NaN   29.425259
7      42.0   17.851022  32.193804        NaN        NaN   25.022413
8      48.0   18.116489  28.261462        NaN        NaN   23.188975
9      54.0   28.817368  50.362402        NaN        NaN   39.589885
10     60.0   55.163579  54.666921        NaN        NaN   54.915250
11     66.0   59.684200        NaN        NaN        NaN   59.684200
12     72.0   72.533632        NaN        NaN        NaN   72.533632
13     78.0  111.489893        NaN        NaN        NaN  111.489893
14     84.0  134.806888        NaN        NaN        NaN  134.806888
