    FCST_HR      29/00Z      30/00Z      01/00Z      02/00Z      03/00Z      04/00Z      05/00Z      06/00Z     07/00Z     08/00Z
0       0.0   16.876820   12.031764    7.274319    7.026813    9.991445   14.350715   12.817216   17.808697  10.162642   9.105252
1       6.0   22.398037   24.368253   15.454819    3.711815   18.750821    6.443807   12.336394    2.087737   7.261281  12.172208
2      12.0   57.033574   15.932349   29.748850   23.199704   18.923939   28.469326    8.724404    6.162494  11.516642        NaN
3      18.0   60.986396   24.564291   30.161223   15.233037   22.425840   35.944898   15.897480   30.525305   3.076773        NaN
4      24.0   63.824353    7.274319   23.689747   16.392350   28.378605   47.605959   52.042342   39.886304   9.105252        NaN
5      30.0   87.006478   21.012591   33.852690   12.537078   32.232774   58.675021   36.883331   39.243702  18.758799        NaN
6      36.0   88.417951   16.708948   46.892878    3.087071   41.539292   57.037149   50.957163   37.459431        NaN        NaN
7      42.0   78.475782    7.239730   51.366415   25.274245   50.990780   63.343177   86.088718   70.288443        NaN        NaN
8      48.0   76.517743    9.718943   51.222312   19.656742   89.536952  102.346365   93.927200  106.163983        NaN        NaN
9      54.0   90.950489   31.414289   64.681281   21.714009   84.478819  116.776610  104.553752  144.936010        NaN        NaN
10     60.0   88.880977   50.676815   86.284486   28.469326  106.965425  117.919303  108.582881         NaN        NaN        NaN
11     66.0   64.427760   59.418497   92.661328   59.646392  146.231397  166.822764  128.570227         NaN        NaN        NaN
12     72.0   51.168397   52.853049  122.505232   68.828622  160.309570  185.110378         NaN         NaN        NaN        NaN
13     78.0   38.790598   33.221287  148.937796   97.046456  178.295635  204.587925         NaN         NaN        NaN        NaN
14     84.0   27.621245   37.955953  157.542362  102.209432  189.276826  223.241594         NaN         NaN        NaN        NaN
15     90.0   49.248246   80.748340  175.437137  126.337906  203.586625  257.926121         NaN         NaN        NaN        NaN
16     96.0  122.156386  172.107655  186.477070  144.731125  192.680142  303.442255         NaN         NaN        NaN        NaN
17    102.0  203.278594  123.682119  223.180638  153.951204  204.204285         NaN         NaN         NaN        NaN        NaN
18    108.0  269.759379  115.828043  233.348852  168.603877  212.876995         NaN         NaN         NaN        NaN        NaN
19    114.0  570.009778  125.064175  250.479525  190.176165  275.544004         NaN         NaN         NaN        NaN        NaN
20    120.0  439.029095  135.579161  264.566073  199.104393         NaN         NaN         NaN         NaN        NaN        NaN
