    FCST_HR      14/00Z      15/00Z     16/00Z     17/00Z     18/00Z     19/00Z     20/00Z
0       0.0    6.046591    9.425244   9.518445   0.643360   8.136519   6.652622  12.009052
1       6.0   30.230963   19.335769  17.686857   5.092127   3.248712   7.591218  33.671178
2      12.0   51.043324   25.971236  24.340764   8.722457  10.559239   7.197298  24.661000
3      18.0   39.649878   25.769505  31.024265  16.527210  25.471039  11.103076        NaN
4      24.0   36.133463   32.049447  30.029559  30.942538  27.472968  13.654396        NaN
5      30.0   30.972873   49.092193  45.323246  57.788816  25.098907  20.513283        NaN
6      36.0   15.559530   57.783194  37.262789  50.903547  32.149757  30.439552        NaN
7      42.0   19.888730   60.554784  16.535428  41.431696  19.097860        NaN        NaN
8      48.0   23.026370   62.354983  16.780522  20.087788  32.206651        NaN        NaN
9      54.0   39.698593   79.735856  37.009912  42.599911  68.784263        NaN        NaN
10     60.0   70.666225   77.925306  41.700748  66.821452        NaN        NaN        NaN
11     66.0   72.794942   82.336452  21.704711  83.023138        NaN        NaN        NaN
12     72.0   81.487184  105.080464   6.652622  89.267969        NaN        NaN        NaN
13     78.0   92.523253  110.709756  33.757993        NaN        NaN        NaN        NaN
14     84.0   66.355426  119.851802  39.232901        NaN        NaN        NaN        NaN
15     90.0   31.296323   90.172207  87.651146        NaN        NaN        NaN        NaN
16     96.0   38.804851   73.636713        NaN        NaN        NaN        NaN        NaN
17    102.0   65.722740   81.750171        NaN        NaN        NaN        NaN        NaN
18    108.0   82.149993  146.235178        NaN        NaN        NaN        NaN        NaN
19    114.0   66.080116         NaN        NaN        NaN        NaN        NaN        NaN
20    120.0   70.495528         NaN        NaN        NaN        NaN        NaN        NaN
21    126.0   86.184186         NaN        NaN        NaN        NaN        NaN        NaN
22    132.0  165.494788         NaN        NaN        NaN        NaN        NaN        NaN
