    FCST_HR     10/00Z     11/00Z     12/00Z
0       0.0   6.915001   0.674604  16.939675
1       6.0  48.690063   6.333365  15.851628
2      12.0  46.175557  19.639508  53.199335
3      18.0  50.314334  29.796355  33.228463
4      24.0  51.269794  27.869850        NaN
5      30.0  36.087965  15.851628        NaN
6      36.0  20.638550  22.891348        NaN
7      42.0  22.916548  40.035007        NaN
8      48.0  35.716957        NaN        NaN
9      54.0  37.625194        NaN        NaN
10     60.0  23.633919        NaN        NaN
11     66.0  53.433443        NaN        NaN
