    FCST_HR     10/00Z     11/00Z     12/00Z       mean
0       0.0   6.915001   0.674604  16.939675   8.176427
1       6.0  48.690063   6.333365  15.851628  23.625019
2      12.0  46.175557  19.639508  53.199335  39.671467
3      18.0  50.314334  29.796355  33.228463  37.779717
4      24.0  51.269794  27.869850        NaN  39.569822
5      30.0  36.087965  15.851628        NaN  25.969797
6      36.0  20.638550  22.891348        NaN  21.764949
7      42.0  22.916548  40.035007        NaN  31.475778
8      48.0  35.716957        NaN        NaN  35.716957
9      54.0  37.625194        NaN        NaN  37.625194
10     60.0  23.633919        NaN        NaN  23.633919
11     66.0  53.433443        NaN        NaN  53.433443
