    FCST_HR     25/00Z     26/00Z     27/00Z       mean
0       0.0  17.481279  15.424481   4.960816  12.622192
1       6.0  23.069867   9.640285  39.246276  23.985476
2      12.0  38.852342   3.632731  24.073653  22.186242
3      18.0  30.428410  47.531861        NaN  38.980135
4      24.0  25.093881  68.009985        NaN  46.551933
5      30.0  48.953362  73.314820        NaN  61.134091
6      36.0  32.182952  36.372083        NaN  34.277518
7      42.0  16.564536        NaN        NaN  16.564536
8      48.0  27.308800        NaN        NaN  27.308800
9      54.0  40.333407        NaN        NaN  40.333407
10     60.0  30.776644        NaN        NaN  30.776644
