    FCST_HR      26/00Z      27/00Z     28/00Z     29/00Z
0       0.0    0.599428   16.945010  12.747962   8.922987
1       6.0   24.084799   36.931761   3.058755  22.815330
2      12.0   48.969396   54.872998  27.323020  52.980847
3      18.0   67.208933   60.091846  34.940498  66.325175
4      24.0  114.087525   60.763101  35.157981  34.459289
5      30.0  163.745590   63.736276   8.854922  45.346940
6      36.0  285.348867   69.289609  38.263390        NaN
7      42.0  230.266841   76.871265  15.971967        NaN
8      48.0  233.730265  104.981702  26.219031        NaN
9      54.0  183.803015   90.100574  26.188662        NaN
10     60.0  145.736612   69.530149        NaN        NaN
11     66.0  105.149803   48.945429        NaN        NaN
12     72.0   81.150575   55.941186        NaN        NaN
13     78.0   72.263755   50.563069        NaN        NaN
14     84.0   67.033539         NaN        NaN        NaN
15     90.0   63.810615         NaN        NaN        NaN
16     96.0   61.274737         NaN        NaN        NaN
17    102.0   85.616017         NaN        NaN        NaN
