    FCST_HR      01/00Z      02/00Z      03/00Z      04/00Z      05/00Z      06/00Z
0       0.0   15.570773   14.280848   15.570845   10.253028   20.330520   16.649439
1       6.0   37.672597    8.438092   42.545209   36.033858   37.817246   30.550874
2      12.0   61.936423   33.515130   59.375518   60.713268   49.518889   27.196899
3      18.0   51.043554   25.732998   64.736825   88.362146   28.707063   23.861484
4      24.0   72.908409   28.118515   99.194482  103.370938   48.255958   16.839764
5      30.0   63.536092   57.065342   96.074912  111.670793   46.232993   62.548153
6      36.0   95.989005   69.850792  105.403909  111.801311   71.700494  117.454376
7      42.0  104.653616  100.421523  102.097616   52.959059   62.273544         NaN
8      48.0  106.104216  123.503433   87.068284   52.233586  101.217939         NaN
9      54.0  125.969034  116.140011   85.863794   32.922228   98.058663         NaN
10     60.0  152.128754  120.374192   55.972525   77.291459  125.365412         NaN
11     66.0  177.494376  121.423246   35.118255   90.600098         NaN         NaN
12     72.0  209.472487  118.410347   96.922794  136.184466         NaN         NaN
13     78.0  208.955197  111.148356  147.117687  176.643515         NaN         NaN
14     84.0  221.493778   63.220375  172.712749  367.443444         NaN         NaN
15     90.0  224.737858   13.393741  150.075849         NaN         NaN         NaN
16     96.0  223.215418   70.798253  154.613576         NaN         NaN         NaN
17    102.0  209.328358  142.875333  142.838376         NaN         NaN         NaN
18    132.0  178.722107  222.189815  120.920433         NaN         NaN         NaN
19    138.0  137.961033  255.500835         NaN         NaN         NaN         NaN
20    144.0  328.972272  277.026412         NaN         NaN         NaN         NaN
21    150.0  334.839072  311.021295         NaN         NaN         NaN         NaN
22    156.0  348.021183  353.538327         NaN         NaN         NaN         NaN
