    FCST_HR      04/00Z      05/00Z      06/00Z      07/00Z      08/00Z      09/00Z      10/00Z      11/00Z
0       0.0   11.965538   15.372726   18.483926    9.710926   72.135931   11.532207    4.590615   26.061280
1       6.0   51.205288   31.995329   33.547296   18.352787   99.179996    6.004526   15.379257   27.408091
2      12.0   70.656636   51.509032   42.928944   10.100861   98.312236    7.322759   58.338913   46.899694
3      18.0   78.478844   62.207206   60.135661   16.963511   96.143721    6.618799   85.611525   58.550714
4      24.0  102.524828   42.009834   62.825288   16.963511   87.823638   24.033407   91.488940   71.684825
5      30.0  120.596164   64.644249   48.976914   48.815623   76.912291   32.666616  111.459605  148.867686
6      36.0  126.095047   57.422669   53.229870   82.421202   75.327199   42.989702  131.708405         NaN
7      42.0  128.125371   70.830623   27.993007   84.402942   33.456511   30.959106   67.281786         NaN
8      48.0  120.487417   76.517732   27.993007   87.443674   38.237088   25.611564   30.944543         NaN
9      54.0  124.407711   55.659694    2.847117   80.379847   37.680107   44.316449  238.357555         NaN
10     60.0  127.301647   53.320849   43.783739   83.871899   30.734028   73.226439         NaN         NaN
11     66.0  115.480947   66.280793   47.985494   82.416392   12.191774   88.646044         NaN         NaN
12     72.0  108.611989   66.280793   43.317193   36.098475  173.378643  102.144665         NaN         NaN
13     78.0  119.324906   90.113263   56.575059   30.405566  192.620774  107.557031         NaN         NaN
14     84.0  116.668433   93.088690   53.132570   23.742969  210.535012         NaN         NaN         NaN
15     90.0  136.662950  105.584981   63.329103   17.833197  294.360161         NaN         NaN         NaN
16     90.0  136.662950  116.896022   87.134102   12.191774  465.150471         NaN         NaN         NaN
17    102.0  198.583326  119.414685   84.201738   42.617304         NaN         NaN         NaN         NaN
18    108.0  236.315885  116.150087  111.255453  108.858781         NaN         NaN         NaN         NaN
19    114.0  256.941675  115.882554  120.325254  206.259030         NaN         NaN         NaN         NaN
