    FCST_HR      06/00Z      07/00Z      08/00Z     09/00Z     10/00Z        mean
0       0.0   34.394749   19.416101   17.359414  15.890684   6.715245   18.755239
1       6.0   15.994771   17.346662    9.925405  22.658051   4.001389   13.985255
2      12.0   41.312485   16.995542   20.109533  10.883896   8.898871   19.640065
3      18.0   52.091546   34.274189   21.891710  19.744723  22.167465   30.033927
4      24.0   84.597367   57.834772   21.849122  16.078131        NaN   45.089848
5      30.0   48.789551   86.947532   36.527637  12.297610        NaN   46.140583
6      36.0   71.374333   81.608803   44.896008  26.948514        NaN   56.206914
7      42.0  105.493238   69.959217   83.060750  71.746876        NaN   82.565020
8      48.0  110.875378   90.682402   99.087678        NaN        NaN  100.215153
9      54.0  150.209254  131.306828  148.951419        NaN        NaN  143.489167
10     60.0  158.982440  177.679885  201.516083        NaN        NaN  179.392803
11     66.0  139.066673  222.792296  231.449220        NaN        NaN  197.769396
12     72.0  182.769565  277.778223         NaN        NaN        NaN  230.273894
13     78.0  209.783100  355.608243         NaN        NaN        NaN  282.695671
14     84.0  279.748511  458.813284         NaN        NaN        NaN  369.280897
15     90.0  323.985981  553.825385         NaN        NaN        NaN  438.905683
16     96.0  375.250829         NaN         NaN        NaN        NaN  375.250829
17    102.0  487.050968         NaN         NaN        NaN        NaN  487.050968
18    108.0  594.195396         NaN         NaN        NaN        NaN  594.195396
19    114.0  695.053296         NaN         NaN        NaN        NaN  695.053296
