    FCST_HR      12/00Z      13/00Z      14/00Z      15/00Z      16/00Z      17/00Z      18/00Z      19/00Z     20/00Z
0       0.0    9.450128   18.176902   19.878185   20.293598   10.986536    7.053011    9.426121    8.228111  16.296902
1       6.0   10.021582   23.374993   18.260712   32.928043    7.782506   15.777615   32.741669   21.172552   4.974261
2      12.0   23.130325   30.118168    9.152299   38.085485   38.716601    7.635016   34.706751    3.078086  14.968764
3      18.0   15.156967   31.843344    7.837003   41.366824   44.799145   27.933571   22.502983    9.006789  14.968764
4      24.0   18.176902   51.961957   21.386818   73.619761   45.580274   21.048940   17.114597   34.170310  43.296375
5      30.0    9.697751   56.992485   44.593387   95.768900   59.095285   48.784706   15.559530   34.239955  44.633464
6      36.0   12.988719   55.597729   60.823605  101.464703   67.635926   45.380841   18.026344   40.721721  45.871484
7      42.0   18.203685   85.085691   64.675289  111.781956   52.955384   31.643542   29.323031   40.721721        NaN
8      48.0   35.908918   91.684629  119.912604   89.544073   43.910366   39.274394   17.610603   76.897611        NaN
9      54.0   37.951498  108.874041  138.749842   88.811094   75.816436   54.089751   21.967973   87.819674        NaN
10     60.0   52.157480  132.362660  155.732114   86.669269   79.785300   59.153611   52.861311  121.811078        NaN
11     66.0   56.555023  140.455640  174.480434   77.185736   76.986486   73.864975   52.861311         NaN        NaN
12     72.0   65.923751  173.193636  185.526856   90.096056   97.244724   68.413548   93.860553         NaN        NaN
13     78.0   87.847064  199.656096  195.601595   98.315539  100.786066   86.643851  147.350761         NaN        NaN
14     84.0   88.514718  218.105304  209.122837   92.575233  119.996822  113.746356  178.682084         NaN        NaN
15     90.0   85.499423  232.958726  193.939097   76.986486  123.929128  113.746356         NaN         NaN        NaN
16     96.0  122.032778  219.325686  172.969055   97.244724  132.847464  104.696301         NaN         NaN        NaN
17    102.0  150.994355  226.836635  183.122772  114.891631  137.509941   83.684509         NaN         NaN        NaN
18    108.0  154.305639  218.178034  190.873006  128.448909  169.093952  106.764504         NaN         NaN        NaN
19    114.0  158.864343  221.632683  200.447963  156.183413  169.093952         NaN         NaN         NaN        NaN
