    FCST_HR      18/00Z      19/00Z      20/00Z      21/00Z      22/00Z      23/00Z      24/00Z     25/00Z
0       0.0   14.488644    7.754315    8.159575   14.773127    8.898871   11.800046   11.530124  13.554623
1       6.0   34.900283   24.664424   29.556537   21.144430   16.349412   53.052380   21.024706  28.709597
2      12.0   33.466867   18.856010   60.690666   46.037387   12.531870  100.766091   28.712899  39.735427
3      18.0   35.133705   25.658651   45.410861   67.218328   23.759072  106.742725   24.048554  22.460350
4      24.0   21.580089   27.066961   59.340811   66.327526   25.766727  139.518312   54.166541  12.815144
5      30.0   35.810247   24.082583   66.418458   68.326416   44.503657  146.638020  105.429237  18.954310
6      36.0   40.227098   26.794317  115.294185   78.236536   49.965808  166.858644  159.982601  45.879629
7      42.0   40.058028   72.805731  138.614409   82.310536   44.904701  238.461358  174.714539        NaN
8      48.0   10.112344   73.841433  132.170495   77.135441   55.713438  282.402843  178.261522        NaN
9      54.0   10.922810   71.494480  144.392339   76.820758   50.933665         NaN         NaN        NaN
10     60.0   22.559187   73.167442  189.053539   70.000166   52.463746         NaN         NaN        NaN
11     66.0   71.700167   86.347871  212.731564   37.478299  151.919147         NaN         NaN        NaN
12     72.0  107.544234   96.293352  240.052559    8.167665  261.928879         NaN         NaN        NaN
13     78.0  118.104254  144.693146  262.270724   46.854624  373.923270         NaN         NaN        NaN
14     84.0  114.295995  206.935030  302.111023   66.442683         NaN         NaN         NaN        NaN
15     90.0  121.204626  273.768287  307.398405  120.300045         NaN         NaN         NaN        NaN
16     96.0  111.250542  315.572768  296.073355  156.107370         NaN         NaN         NaN        NaN
17    102.0  106.716081  365.902138  274.138898  223.167746         NaN         NaN         NaN        NaN
18    108.0  105.268720  411.992332  251.351666  280.426821         NaN         NaN         NaN        NaN
19    114.0  118.284364  416.880727  200.002816  323.618369         NaN         NaN         NaN        NaN
