    FCST_HR      25/00Z      26/00Z     27/00Z      28/00Z      29/00Z     30/00Z        mean
0       0.0    4.921238   11.376806  17.746549    9.241599   15.282885  14.371699   12.156796
1       6.0    2.802854   32.721150   9.518325   20.413155   18.125254  32.074423   19.275860
2      12.0   15.489780   53.140350  16.642373   23.216339   31.848210  26.265006   27.767010
3      18.0   35.518991   44.500821  13.491956   42.832245   32.274672  26.287190   32.484312
4      24.0   45.615209   66.722468  33.010895   54.494411   35.132147  28.459142   43.905712
5      30.0   74.677888   77.625159  32.411288   44.699342    3.860162  34.762359   44.672700
6      36.0   80.623978   74.812909  41.536943   49.509892    5.697186  84.219111   56.066670
7      42.0   88.255898   80.739599  45.588590   58.750410   52.086909        NaN   65.084281
8      48.0   81.424978   92.643461  33.854855   76.415328   39.150517        NaN   64.697828
9      54.0  107.010108   76.736112  58.934814  118.593510   24.004215        NaN   77.055752
10     60.0  119.173597   95.529724  60.991157  146.170475  127.660257        NaN  109.905042
11     66.0  140.193729  103.240135  76.000688  134.948204         NaN        NaN  113.595689
12     72.0  144.973590  100.807632  75.082468  126.157375         NaN        NaN  111.755266
13     78.0  143.442106  109.335235  94.477407  128.602690         NaN        NaN  118.964360
14     84.0  162.613954  125.326579  92.194161         NaN         NaN        NaN  126.711565
15     90.0  162.593685  133.287693  74.854147         NaN         NaN        NaN  123.578508
16     96.0  181.512085  146.388209  59.326949         NaN         NaN        NaN  129.075748
17    102.0  201.223223  134.254175        NaN         NaN         NaN        NaN  167.738699
18    108.0  231.855013  115.814514        NaN         NaN         NaN        NaN  173.834763
19    114.0  250.053987  116.982361        NaN         NaN         NaN        NaN  183.518174
