    FCST_HR      22/00Z      23/00Z      24/00Z      25/00Z      26/00Z      27/00Z      28/00Z      29/00Z      30/00Z      31/00Z        mean
0       0.0   20.343218   14.038092   14.072643    3.087548    4.317944    8.833256    9.355544   17.538277    6.194825    6.527953   10.430930
1       6.0   53.116347   29.384783   35.775390   13.319065   28.593762   40.005873   18.191732    9.663053   12.631150  148.541914   38.922307
2      12.0  105.514123   13.686053   80.578418   44.994692   37.219608   46.096352    1.431655    9.772666   47.849614  335.095346   72.223853
3      18.0  132.234726   35.413561  139.080970   43.366740   53.646650   54.928712   18.691097    9.033568  142.184992         NaN   69.842335
4      24.0  121.428835   26.336996  150.980620   57.971296   81.869885  135.607124   25.701346   16.241552  249.852077         NaN   96.221081
5      30.0  132.735678   70.751725  172.738441   84.632063  104.948807  108.996008   47.985494   46.862145  423.502857         NaN  132.572580
6      36.0  132.774722  131.547205  198.154831   91.401255  113.879010  106.348526   47.611175  103.887431  629.848984         NaN  172.828127
7      42.0  146.061018  215.876349  205.535965  107.305824  127.781658  108.195423   35.983497  198.339543         NaN         NaN  143.134910
8      48.0  151.646146  193.652027  213.963796  116.132263  167.225830  134.015834   18.624059  336.615272         NaN         NaN  166.484403
9      54.0  148.619783  211.314687  234.002994  140.754373  175.244855  138.404737   27.408091  500.270394         NaN         NaN  197.002489
10     60.0  219.205680  222.067315  226.869953  136.201713  181.151697  128.984370   41.377131  696.065269         NaN         NaN  231.490391
11     66.0  316.929684  226.216243  239.275370  134.948132  169.642010  152.869035  144.666283         NaN         NaN         NaN  197.792394
12     72.0  305.892044  257.984837  231.217988  157.067458  198.008108  173.260376  259.535663         NaN         NaN         NaN  226.138068
13     78.0  329.980363  278.953006  243.195062  155.730343  213.050869  200.567518  446.125622         NaN         NaN         NaN  266.800398
14     84.0  378.188797  294.299569  259.460813  106.824491  249.897762  221.258637  630.662044         NaN         NaN         NaN  305.798873
15     90.0  420.190782  284.156655  260.390994   67.025286  322.677924  226.079076         NaN         NaN         NaN         NaN  263.420119
16     96.0  410.002175  291.996918  278.500682   58.309425  388.982894         NaN         NaN         NaN         NaN         NaN  285.558419
17    102.0  440.923604  285.015271  289.662051   79.187515  452.378437         NaN         NaN         NaN         NaN         NaN  309.433376
18    108.0  459.613320  266.761411  270.461713  145.226852  482.781103         NaN         NaN         NaN         NaN         NaN  324.968880
19    114.0  466.813602  252.415696  264.105063         NaN  498.556518         NaN         NaN         NaN         NaN         NaN  370.472720
