    FCST_HR      02/00Z     03/00Z     04/00Z     05/00Z        mean
0       0.0   13.011981  18.886145  14.786340  12.893344   14.894453
1       6.0    9.300361   2.957269  20.973580  18.468617   12.924957
2      12.0   15.423683  22.678189  16.498732   9.171301   15.942976
3      18.0   21.222466  47.317736   6.093935  18.237214   23.217838
4      24.0   39.632164  42.070351  22.779764  13.566862   29.512285
5      30.0   51.026680  34.060054  25.911612  33.238193   36.059134
6      36.0   52.357562  41.502344  28.550404        NaN   40.803436
7      42.0   20.676557  27.532317  41.830050        NaN   30.012975
8      48.0   21.088371  18.610651  54.804973        NaN   31.501332
9      54.0   24.965856  12.676757  53.819619        NaN   30.487410
10     60.0   37.548478  15.554598        NaN        NaN   26.551538
11     66.0   57.125454  31.323323        NaN        NaN   44.224388
12     72.0   51.176217  54.804973        NaN        NaN   52.990595
13     78.0   60.241011  74.438134        NaN        NaN   67.339572
14     84.0   62.777854        NaN        NaN        NaN   62.777854
15     90.0   73.950410        NaN        NaN        NaN   73.950410
16     96.0   97.025533        NaN        NaN        NaN   97.025533
17    102.0  124.590198        NaN        NaN        NaN  124.590198
