    FCST_HR      16/00Z      17/00Z     18/00Z     19/00Z        mean
0       0.0   24.190346   15.832458  39.945544  19.501718   24.867516
1       6.0   45.733021   46.002352  25.070940  20.186102   34.248104
2      12.0   44.675209   87.692999  12.456758        NaN   48.274989
3      18.0   17.668952   77.067021  27.058046        NaN   40.598007
4      24.0   21.810107   97.028133   9.034976        NaN   42.624405
5      30.0   46.002352  102.790337  18.139918        NaN   55.644202
6      36.0   96.697824  119.860310        NaN        NaN  108.279067
7      42.0   99.835912   90.178315        NaN        NaN   95.007114
8      48.0  157.457831   77.994644        NaN        NaN  117.726237
9      54.0  155.216994  100.384641        NaN        NaN  127.800817
10     60.0  166.589159         NaN        NaN        NaN  166.589159
11     66.0  127.676682         NaN        NaN        NaN  127.676682
