    FCST_HR      22/00Z      23/00Z     24/00Z     25/00Z        mean
0       0.0   12.231087   15.180714  17.390320  20.609937   16.353015
1       6.0   33.804057   12.838054  32.236015  41.910784   30.197227
2      12.0   27.447284   30.667211  43.735949  67.199531   42.262494
3      18.0   28.520830   47.087447  42.849907  68.729664   46.796962
4      24.0   30.114477   27.205594  72.836601        NaN   43.385557
5      30.0   38.200043   35.871360  70.743545        NaN   48.271649
6      36.0   51.414311   64.859524  97.140391        NaN   71.138075
7      42.0   53.951070   75.956038  79.544467        NaN   69.817191
8      48.0   91.775862   94.819670        NaN        NaN   93.297766
9      54.0   98.316069  101.185508        NaN        NaN   99.750788
10     60.0   78.181593   74.976458        NaN        NaN   76.579026
11     66.0   67.374457   80.621800        NaN        NaN   73.998129
12     72.0   83.867155         NaN        NaN        NaN   83.867155
13     78.0   88.864636         NaN        NaN        NaN   88.864636
14     84.0  123.826870         NaN        NaN        NaN  123.826870
15     90.0  130.253803         NaN        NaN        NaN  130.253803
