    FCST_HR      28/00Z      29/00Z      30/00Z     01/00Z        mean
0       0.0   27.683722   15.498618    3.598286   7.376222   13.539212
1       6.0   17.634645    9.401663   23.374993  29.492937   19.976059
2      12.0   21.134929   18.013578   35.579470  43.144454   29.468108
3      18.0   22.933314   13.026840   53.686992  69.210150   39.714324
4      24.0   34.204267   14.393144   67.767406  39.157650   38.880617
5      30.0   29.554100   40.023851   92.305405        NaN   53.961119
6      36.0   36.239410   79.096802   99.890088        NaN   71.742100
7      42.0   75.282270  117.019815  127.609939        NaN  106.637341
8      48.0   78.460397         NaN  107.927582        NaN   93.193989
9      54.0   99.522393         NaN         NaN        NaN   99.522393
10     60.0  131.641865         NaN         NaN        NaN  131.641865
11     66.0  153.092742         NaN         NaN        NaN  153.092742
