    FCST_HR      13/00Z     14/00Z     15/00Z     16/00Z     17/00Z       mean
0       0.0  121.165904  13.149849   0.728271   4.171996  13.311773  30.505558
1       6.0   44.382978  25.567518   5.297272  12.295556   6.658569  18.840379
2      12.0   28.480187  19.211939  15.630969  24.762419  11.192400  19.855583
3      18.0   25.799851  27.869265  12.030936  29.363391  30.146314  25.041952
4      24.0   24.055501  37.141797  18.244751  35.500645  37.389532  30.466445
5      30.0   13.091302  28.870614  19.399391  40.857392  32.775771  26.998894
6      36.0   21.015841  13.806510  41.478227  54.275345  44.614034  35.037992
7      42.0   20.352865  17.674803  45.792507  61.398209  29.989817  35.041640
8      48.0   48.840570   4.171996  42.762449  52.405708   7.098747  31.055894
9      54.0   42.256897  30.377249  34.278546  40.424351        NaN  36.834261
10     60.0   61.604978  39.839599  25.337007  33.477427        NaN  40.064753
11     66.0   80.305554  43.289383  23.686392  43.355579        NaN  47.659227
12     72.0   85.044017  59.156254  16.755453  34.415369        NaN  48.842773
13     78.0   89.505311  51.434081   9.693143        NaN        NaN  50.210845
14     84.0   86.584886  61.172882   6.990822        NaN        NaN  51.582863
15     90.0   84.758741  59.574807  14.006823        NaN        NaN  52.780124
16     96.0   77.973169        NaN  13.621228        NaN        NaN  45.797198
17    102.0   69.329609        NaN        NaN        NaN        NaN  69.329609
18    108.0   62.307298        NaN        NaN        NaN        NaN  62.307298
19    114.0   51.371649        NaN        NaN        NaN        NaN  51.371649
