    FCST_HR      02/00Z      03/00Z     04/00Z     05/00Z     06/00Z      07/00Z     08/00Z     09/00Z     10/00Z       mean
0       0.0   51.648127    4.171518  12.727549  12.781883  23.104137  132.796706   6.683942  10.076375  19.155422  30.349518
1       6.0   35.156721    8.866168  25.164580  18.161700   8.382743   13.170509   8.622072   9.475666  12.603088  15.511472
2      12.0   23.087202   38.190707  31.496569   9.006789  10.238603    8.919907   6.619481   9.126267   9.483352  16.240986
3      18.0   32.437159   37.087773  32.195577   4.728076   9.470570   18.390445  23.535932   5.883983  17.586583  20.146233
4      24.0   60.767191   63.891579  35.807122  23.104137   3.340306   32.080255  11.921388   9.125972  16.492858  28.503423
5      30.0   59.370154   73.709987  31.710188  21.815498  13.170509   28.908881   6.686757  10.662955   7.298276  28.148134
6      36.0   69.753231  101.723418  21.015841  31.723743  25.632352   30.742429  20.749740  25.112694  35.683641  40.237454
7      42.0   90.140631  101.849010  24.980002  41.951798  34.417559   30.460097  19.532957  34.785630  20.010548  44.236470
8      48.0   96.096492  107.100818  19.954962  31.846575  32.080255   37.467728  29.366940  49.273032  36.027156  48.801551
9      54.0  104.086516   99.145453  24.864868  36.671669  39.366957   36.146906  37.268073  51.753863        NaN  53.663038
10     60.0  114.586314   85.715434  32.243574  44.190341  54.175006   51.059615  46.705908  52.977268        NaN  60.206683
11     66.0  112.767358   79.162647  32.058460  50.694015  61.482219   46.732939  57.562813  52.441055        NaN  61.612688
12     72.0  105.718477   48.058361  12.098078  40.629800  71.143154   56.616408  72.758912   9.006789        NaN  52.003747
13     78.0  114.920355   45.866172  24.066698  54.197853  67.825892   51.921014  39.401379        NaN        NaN  56.885623
14     84.0  102.729881   55.566170  26.508122        NaN  68.174770   59.815585        NaN        NaN        NaN  62.558906
15     90.0   93.027615   61.461973  32.409244        NaN  60.331817   57.562813        NaN        NaN        NaN  60.958692
16     96.0   78.072443   59.155446  23.104668        NaN  69.067638   61.103417        NaN        NaN        NaN  58.100722
17    102.0         NaN   62.166933  39.366957        NaN  51.791408   39.401379        NaN        NaN        NaN  48.181669
18    108.0         NaN   66.965027        NaN        NaN        NaN         NaN        NaN        NaN        NaN  66.965027
19    114.0         NaN   77.798974        NaN        NaN        NaN         NaN        NaN        NaN        NaN  77.798974
20    120.0         NaN   89.231350        NaN        NaN        NaN         NaN        NaN        NaN        NaN  89.231350
