    FCST_HR      14/00Z     15/00Z     16/00Z     17/00Z
0       0.0    4.339608  18.071194  11.076956  21.060708
1       6.0    5.786144  18.071194  12.934566   8.317643
2      12.0   22.917211   6.655961  33.148820   9.700166
3      12.0   22.917211  17.465626  64.166639        NaN
4      24.0   47.850533  12.451929  73.983848        NaN
5      24.0   47.850533  26.617196  84.121613        NaN
6      36.0   72.142296  24.021460  69.472850        NaN
7      42.0   93.936966  11.883512        NaN        NaN
8      48.0   99.450019  12.348896        NaN        NaN
9      54.0  114.665825  21.790758        NaN        NaN
10     60.0  118.062161  24.286967        NaN        NaN
11     66.0   93.296324        NaN        NaN        NaN
12     72.0  107.343968        NaN        NaN        NaN
13     78.0  113.237829        NaN        NaN        NaN
14     84.0  120.765747        NaN        NaN        NaN
