   FCST_HR     15/00Z     16/00Z     17/00Z       mean
0      0.0  27.087554  13.713709  13.214953  18.005405
1      6.0  25.590556  27.269516  13.118444  21.992839
2     12.0  40.765825  11.425089        NaN  26.095457
3     18.0  52.261626  46.768238        NaN  49.514932
4     24.0  58.241836  38.108441        NaN  48.175139
5     30.0  46.715144  40.008266        NaN  43.361705
6     36.0  56.295771        NaN        NaN  56.295771
7     42.0  56.766690        NaN        NaN  56.766690
8     48.0  50.778162        NaN        NaN  50.778162
9     54.0  40.008266        NaN        NaN  40.008266
