    FCST_HR      17/00Z      18/00Z      19/00Z     20/00Z        mean
0       0.0   59.771275   12.354895   13.281989  42.230495   31.909663
1       6.0   35.805959   17.644188   10.982636  34.958647   24.847857
2      12.0   55.997020   27.164808    7.681735  58.105272   37.237209
3      18.0   24.027223   20.333826   40.055828        NaN   28.138959
4      24.0   26.339253   35.759217   35.500707        NaN   32.533059
5      30.0   45.254782   48.756383   90.266510        NaN   61.425891
6      36.0   70.012887   65.128679  103.167020        NaN   79.436195
7      42.0  107.713140   99.486395         NaN        NaN  103.599767
8      48.0  132.655067  108.870906         NaN        NaN  120.762987
9      54.0  125.823128  174.202428         NaN        NaN  150.012778
10     60.0  114.291630  218.224301         NaN        NaN  166.257966
11     66.0  136.132266  234.859863         NaN        NaN  185.496065
12     72.0  160.360620         NaN         NaN        NaN  160.360620
