    FCST_HR      06/00Z     07/00Z      08/00Z     09/00Z     10/00Z
0       0.0   52.671321  13.331507    4.996813   5.171326  20.219166
1       6.0   33.226673   9.457079   23.859294  20.500492  10.073944
2      12.0   20.325117  18.214772   48.935133  23.661016  44.739288
3      18.0   50.386828  18.154983   53.564437  42.708220  36.648287
4      24.0   51.774756  32.663706   48.221295  54.551796        NaN
5      30.0   51.563716  48.083700   43.163518  47.546132        NaN
6      36.0   56.860911  47.896488   60.373287  80.986331        NaN
7      42.0   68.228789  51.443607   56.841878  74.103053        NaN
8      48.0   60.749829  51.381981   73.290382        NaN        NaN
9      54.0  108.448346  50.573746   76.955116        NaN        NaN
10     60.0  161.804195  41.452451  102.541423        NaN        NaN
11     66.0  157.398324  45.071313   90.626552        NaN        NaN
12     72.0  174.425953  36.070360         NaN        NaN        NaN
13     78.0  158.721779  48.630131         NaN        NaN        NaN
14     84.0  184.402772  57.650654         NaN        NaN        NaN
15     90.0  169.620091  68.805665         NaN        NaN        NaN
16     96.0  171.828482        NaN         NaN        NaN        NaN
17    102.0  172.925851        NaN         NaN        NaN        NaN
18    108.0  137.348184        NaN         NaN        NaN        NaN
19    114.0  147.723369        NaN         NaN        NaN        NaN
