    FCST_HR      01/00Z      02/00Z     03/00Z     04/00Z     05/00Z
0       0.0    6.381058   16.577411   7.066978   9.016436  18.337826
1       6.0   31.663273   18.029695  20.122804  16.991308  25.460301
2      12.0   33.791982    4.982455  29.023377  40.631344  27.347533
3      18.0   50.053392   11.928897  37.063780  55.041393        NaN
4      24.0   63.106650   33.637033  32.410223  56.715719        NaN
5      30.0   52.839203   53.639203  35.712637  60.279519        NaN
6      36.0   43.287066   66.414131   4.635214  58.580547        NaN
7      42.0   27.136066   67.421954  17.481279        NaN        NaN
8      48.0   30.128681   83.843185  15.027849        NaN        NaN
9      54.0   31.205537  118.221266  25.460301        NaN        NaN
10     60.0   55.737294  130.694528  34.711992        NaN        NaN
11     66.0   56.135089  146.712396        NaN        NaN        NaN
12     72.0   71.912977  138.015312        NaN        NaN        NaN
13     78.0   67.361935  138.472912        NaN        NaN        NaN
14     84.0   80.164097  143.652085        NaN        NaN        NaN
15     90.0   97.324100         NaN        NaN        NaN        NaN
16     96.0   82.572339         NaN        NaN        NaN        NaN
17    102.0  102.593546         NaN        NaN        NaN        NaN
18    108.0  102.939676         NaN        NaN        NaN        NaN
