    FCST_HR      05/00Z      06/00Z      07/00Z     08/00Z
0       0.0   18.071649   10.640219   22.006130  55.016327
1       6.0   20.876511   41.173387   36.995502  36.196654
2      12.0   24.067398   51.367965   46.937034  39.532740
3      18.0   95.798004   54.410810   57.775352        NaN
4      24.0  125.936253  193.839856   95.931527        NaN
5      30.0  183.992738  137.528910   98.430668        NaN
6      36.0  169.412536  155.601526  105.299789        NaN
7      42.0  181.948656  135.005918         NaN        NaN
8      48.0  161.763367  117.107557         NaN        NaN
9      54.0  137.528910   89.098086         NaN        NaN
10     60.0  133.576660   50.819199         NaN        NaN
11     66.0  102.331048         NaN         NaN        NaN
12     72.0   44.809387         NaN         NaN        NaN
13     78.0   54.155010         NaN         NaN        NaN
14     84.0   58.599017         NaN         NaN        NaN
