    FCST_HR      05/00Z      06/00Z      07/00Z     08/00Z        mean
0       0.0   18.071649   10.640219   22.006130  55.016327   26.433581
1       6.0   20.876511   41.173387   36.995502  36.196654   33.810514
2      12.0   24.067398   51.367965   46.937034  39.532740   40.476284
3      18.0   95.798004   54.410810   57.775352        NaN   69.328055
4      24.0  125.936253  193.839856   95.931527        NaN  138.569212
5      30.0  183.992738  137.528910   98.430668        NaN  139.984106
6      36.0  169.412536  155.601526  105.299789        NaN  143.437951
7      42.0  181.948656  135.005918         NaN        NaN  158.477287
8      48.0  161.763367  117.107557         NaN        NaN  139.435462
9      54.0  137.528910   89.098086         NaN        NaN  113.313498
10     60.0  133.576660   50.819199         NaN        NaN   92.197930
11     66.0  102.331048         NaN         NaN        NaN  102.331048
12     72.0   44.809387         NaN         NaN        NaN   44.809387
13     78.0   54.155010         NaN         NaN        NaN   54.155010
14     84.0   58.599017         NaN         NaN        NaN   58.599017
