    FCST_HR      20/00Z      21/00Z      22/00Z      23/00Z     24/00Z     25/00Z     26/00Z     27/00Z
0       0.0    1.449982    9.379371    7.000620   11.856833  12.304861   9.089372   0.713830  18.111960
1       6.0   21.028292   22.218934   17.684799   14.362687  17.292323   7.812593  11.488082  21.207652
2      12.0   35.404867   40.282003   49.376880   15.195702  15.824440  20.192308  27.880285  21.772949
3      18.0   39.093843   74.639928   53.467276   37.227263  25.058721  34.304970  36.233268  48.181534
4      24.0   63.491056   93.488950   60.294511   32.693185  19.949660  38.039915  54.443060  46.342108
5      30.0   97.610080   86.586471   45.309804   31.427932  21.601212  49.040437  76.918903  67.415957
6      36.0  110.204622   88.248424   52.566852   37.743974  21.064236  66.486340  68.745795  33.509486
7      42.0   96.759274   64.133165   51.012673   39.677368  22.971862  74.795042  67.325544        NaN
8      48.0   95.850943   41.026147   36.729864   34.304252  34.554618  74.868001  78.523469        NaN
9      54.0   69.362460   42.761665   45.842495   42.644383  25.052940  82.247872  80.704106        NaN
10     60.0   64.349929   42.899017   61.404586   40.848128  47.089997  59.723092  73.175459        NaN
11     66.0   75.451292   63.051577   74.711513   57.775166  31.591568  55.309467        NaN        NaN
12     72.0   67.636524   66.434603   78.606280   56.975614  40.492341  52.288847        NaN        NaN
13     78.0   53.182058   79.801004   88.153223   59.503295  41.509352  71.080505        NaN        NaN
14     84.0   49.668659   98.807470  121.386176   69.761669  56.165127  63.242640        NaN        NaN
15     90.0   63.051577   94.311365  164.597665   77.103293  71.259042        NaN        NaN        NaN
16     96.0   66.434603  103.311600  190.648380  103.039642  72.177978        NaN        NaN        NaN
17    102.0   60.758086  112.375207  232.147424  137.022457  66.596836        NaN        NaN        NaN
18    108.0   78.450642  132.626449  281.002938  151.455388  63.301928        NaN        NaN        NaN
19    114.0   87.685074  149.444814  321.724161  143.837784        NaN        NaN        NaN        NaN
20    120.0   90.041036  148.877599  359.666317  168.963359        NaN        NaN        NaN        NaN
21    126.0   99.871273  160.698418  383.286392  204.552029        NaN        NaN        NaN        NaN
22    132.0  110.573047  184.211789  397.229584         NaN        NaN        NaN        NaN        NaN
23    138.0  127.465530  203.114979         NaN         NaN        NaN        NaN        NaN        NaN
