    FCST_HR      22/00Z      23/00Z      24/00Z      25/00Z     26/00Z     27/00Z        mean
0       0.0    8.376042    8.530816    9.232410    6.048355  12.456758   9.937637    9.097003
1       6.0   30.320207   31.415808   70.639981   40.023999  19.501718  10.881188   33.797150
2      12.0   45.180759   59.370137  118.349497   58.187821  43.483550  49.691442   62.377201
3      18.0   37.859917   77.284885  136.762797   77.256744  45.320780  51.313911   70.966506
4      24.0   28.178115   83.408737  166.828023   80.817999  37.325449        NaN   79.311664
5      30.0   48.202181   95.754678  176.932938   90.117077  27.908501        NaN   87.783075
6      36.0   47.623462   92.932124  160.782585  108.466122  60.242533        NaN   94.009365
7      42.0   44.189800   76.938718  153.692130  121.844776  45.387418        NaN   88.410568
8      48.0   42.587277   77.315843  134.867005  120.848002        NaN        NaN   93.904532
9      54.0   58.545693   75.225555  114.388772   82.404500        NaN        NaN   82.641130
10     60.0   62.947378   91.117495  104.931361   67.088437        NaN        NaN   81.521168
11     66.0   69.147414  129.753098  100.347140   15.027352        NaN        NaN   78.568751
12     72.0   54.413322  134.032419   83.438822         NaN        NaN        NaN   90.628187
13     78.0   41.343142  171.556804   57.470455         NaN        NaN        NaN   90.123467
14     84.0   78.076304  220.774011   84.909559         NaN        NaN        NaN  127.919958
15     90.0  144.561827  246.612527   97.268611         NaN        NaN        NaN  162.814322
16     96.0  200.411876  282.129798         NaN         NaN        NaN        NaN  241.270837
17    102.0  296.497631  327.019729         NaN         NaN        NaN        NaN  311.758680
18    108.0  368.462669  420.101058         NaN         NaN        NaN        NaN  394.281864
19    114.0  442.911574  477.600519         NaN         NaN        NaN        NaN  460.256046
