    FCST_HR     30/00Z     01/00Z     02/00Z
0       0.0   5.305892  10.520045  14.186023
1       6.0  15.259827  18.027895   7.803439
2      12.0  13.374232  25.064360  19.146468
3      18.0   7.402933  36.895059  38.722638
4      24.0  45.745858  54.311152  38.165236
5      30.0  56.126395  60.291634  37.544575
6      36.0  65.475964  46.791533  42.125464
7      42.0  64.588387  42.055450        NaN
8      48.0  84.370882  54.334304        NaN
9      54.0  69.423537  70.486928        NaN
10     60.0  40.181839  87.579253        NaN
11     66.0  34.139904        NaN        NaN
12     72.0  59.347230        NaN        NaN
13     78.0  80.343025        NaN        NaN
14     84.0  89.241520        NaN        NaN
