    FCST_HR     30/00Z     01/00Z     02/00Z       mean
0       0.0   5.305892  10.520045  14.186023  10.003987
1       6.0  15.259827  18.027895   7.803439  13.697054
2      12.0  13.374232  25.064360  19.146468  19.195020
3      18.0   7.402933  36.895059  38.722638  27.673543
4      24.0  45.745858  54.311152  38.165236  46.074082
5      30.0  56.126395  60.291634  37.544575  51.320868
6      36.0  65.475964  46.791533  42.125464  51.464320
7      42.0  64.588387  42.055450        NaN  53.321918
8      48.0  84.370882  54.334304        NaN  69.352593
9      54.0  69.423537  70.486928        NaN  69.955232
10     60.0  40.181839  87.579253        NaN  63.880546
11     66.0  34.139904        NaN        NaN  34.139904
12     72.0  59.347230        NaN        NaN  59.347230
13     78.0  80.343025        NaN        NaN  80.343025
14     84.0  89.241520        NaN        NaN  89.241520
