    FCST_HR     28/00Z      29/00Z      30/00Z      31/00Z     01/00Z        mean
0       0.0  18.677126    6.398557   21.030678   33.155227   8.028103   17.457938
1       6.0   2.947103   12.889184   22.603664   21.411928   8.739249   13.718226
2      12.0  12.031692   21.592380   33.133377   35.567332  14.146241   23.294204
3      18.0  21.856615   20.513310   44.721547   61.179168  30.767291   35.807586
4      24.0  18.551698   26.726493   71.737718   75.752352  45.127109   47.579074
5      30.0  31.113149   46.195098   87.682995   90.493538        NaN   63.871195
6      36.0  27.965742   67.994699  104.502763  103.283217        NaN   75.936605
7      42.0  30.279093   66.544971  143.909561   87.660673        NaN   82.098575
8      48.0  30.248173   69.529414  172.041889  112.158338        NaN   95.994454
9      54.0  33.122788   97.213404  195.815862         NaN        NaN  108.717352
10     60.0  45.218257  118.018476  233.621116         NaN        NaN  132.285950
11     66.0  36.925646  157.016100  220.304438         NaN        NaN  138.082061
12     72.0  48.039581  172.041889  267.530252         NaN        NaN  162.537241
13     78.0  64.001550  179.795153         NaN         NaN        NaN  121.898352
14     84.0  70.546451  194.147436         NaN         NaN        NaN  132.346944
15     90.0  85.988926  186.290925         NaN         NaN        NaN  136.139925
