    FCST_HR     01/00Z      02/00Z     03/00Z     04/00Z      05/00Z      06/00Z     07/00Z     08/00Z        mean
0       0.0   7.993243   14.046391  14.437752  12.097135    6.004526    5.289978  12.095085   3.558896    9.440376
1       6.0  24.712828    6.559251   7.215104   6.559251   28.879597   16.995995  13.018780  11.043326   14.373016
2      12.0  15.169303   18.072545  19.868207   8.562365   31.070771   29.685743  15.195702  13.400720   18.878170
3      18.0  28.630650   34.166184   6.674134  28.588225   16.718706   43.620843  21.518559  22.599216   25.314565
4      24.0  39.730532   33.986467  12.097135  36.913072   14.115359   43.852476  32.030054        NaN   30.389299
5      30.0  32.872704   54.071444  17.251940  28.847579    7.974899   55.782597  33.598325        NaN   32.914213
6      36.0  41.987443   64.805810  28.182648  48.942719    6.524223   68.535124  57.246601        NaN   45.174938
7      42.0  65.962052   80.181152  43.249029  48.101553   24.115725   59.962507  99.003888        NaN   60.082272
8      48.0  50.034507   98.386069  54.179859  51.535400   48.057898   69.216701        NaN        NaN   61.901739
9      54.0  68.773224  119.936212  62.766192  55.310407   63.248916   63.834882        NaN        NaN   72.311639
10     60.0  77.467456  157.119434  64.755457  58.732765   78.534328   50.965070        NaN        NaN   81.262418
11     66.0  62.413916  190.285527  78.315235  66.260904   99.747636  111.720467        NaN        NaN  101.457281
12     72.0  53.299996  218.608855  68.301934  71.951194  126.378651         NaN        NaN        NaN  107.708126
13     78.0  48.933699  248.327255  78.776795  83.989120  173.500963         NaN        NaN        NaN  126.705566
14     84.0  26.414383  263.186259  91.830855  78.616585  203.494542         NaN        NaN        NaN  132.708525
15     90.0  10.638128  280.047145        NaN        NaN  221.650398         NaN        NaN        NaN  170.778557
