    FCST_HR      29/00Z     30/00Z        mean
0       0.0    9.940912  20.587032   15.263972
1       6.0   21.423829   9.425163   15.424496
2      12.0   31.070771  21.802022   26.436396
3      18.0   52.747197  29.230006   40.988602
4      24.0   80.363645  47.729614   64.046629
5      30.0  105.438804  79.428756   92.433780
6      36.0  142.933380  91.995671  117.464525
7      42.0  198.493519  91.995671  145.244595
8      48.0  232.791050        NaN  232.791050
9      54.0  231.890952        NaN  231.890952
10     60.0  248.146412        NaN  248.146412
11     60.0  248.146412        NaN  248.146412
