    FCST_HR      15/00Z      16/00Z      17/00Z     18/00Z        mean
0       0.0   15.864980   14.413764    7.000620  41.517957   19.699330
1       6.0   12.669704   21.214181   20.421661   7.754150   15.514924
2      12.0   32.180691   28.748380   18.128654  26.397153   26.363720
3      18.0   46.880138   30.302577   76.267316  32.921779   46.592953
4      24.0   54.632998   33.641795  105.233586  51.583727   61.273026
5      30.0   55.157311   34.624433  140.323532  40.616877   67.680538
6      36.0   47.604063   21.125365  140.094681        NaN   69.608036
7      42.0   33.799867   48.921492  133.339160        NaN   72.020173
8      48.0   16.989932   60.316197         NaN        NaN   38.653065
9      66.0  260.457783   88.995093         NaN        NaN  174.726438
10     72.0  193.724375  101.559857         NaN        NaN  147.642116
11     78.0  176.999635  112.133877         NaN        NaN  144.566756
12     84.0  213.751877         NaN         NaN        NaN  213.751877
13     90.0  243.067381         NaN         NaN        NaN  243.067381
14     96.0  282.317830         NaN         NaN        NaN  282.317830
15    102.0  313.152237         NaN         NaN        NaN  313.152237
