    valid_time    lat       lon      min_slp     trk_err
0   2022061500  14.75 -101.8750  1002.350781   15.864980
1   2022061506  15.25 -102.1875  1002.687969   12.669704
2   2022061512  15.50 -102.5000   997.618828   32.180691
3   2022061518  15.75 -103.1250   997.584453   46.880138
4   2022061600  16.00 -103.7500   998.418672   54.632998
5   2022061606  16.25 -104.3750  1000.865625   55.157311
6   2022061612  16.50 -104.6875  1001.484219   47.604063
7   2022061618  16.25 -105.6250  1004.011562   33.799867
8   2022061700  16.25 -106.2500  1001.347344   16.989932
9   2022061718  16.75 -105.0000  1003.438750  260.457783
10  2022061800  17.00 -106.5625  1001.599375  193.724375
11  2022061806  17.00 -107.5000  1002.502891  176.999635
12  2022061812  16.25 -107.5000   999.235781  213.751877
13  2022061818  16.50 -107.5000   994.835391  243.067381
14  2022061900  16.50 -107.1875   991.347422  282.317830
15  2022061906  16.50 -107.1875   990.288984  313.152237
