   valid_time    lat       lon      min_slp     trk_err
0  2022061700  16.50 -105.9375   996.052578    7.000620
1  2022061706  17.00 -107.1875   994.336563   20.421661
2  2022061712  17.75 -108.1250   991.968828   18.128654
3  2022061718  18.50 -109.0625   997.978984   76.267316
4  2022061800  19.00 -110.0000  1000.735469   90.248218
5  2022061806  19.00 -110.9375  1008.209375   81.944197
6  2022061812  19.00 -112.1875  1008.187266  102.995697
7  2022061818  19.00 -112.8125  1010.107969   95.765444
8  2022061900  19.00 -112.8125  1008.612578   72.985516
9  2022061906  19.00 -112.8125  1010.893516   42.219567
