    valid_time    lat       lon     min_slp    trk_err
0   2022062300  13.75 -104.3750  986.379219  18.390592
1   2022062306  14.25 -104.6875  995.632266  51.043636
2   2022062312  15.00 -105.6250  995.189219  36.056240
3   2022062318  15.75 -106.2500  995.111797  28.373886
4   2022062400  16.25 -106.8750  991.446484  28.143204
5   2022062406  16.75 -107.8125  994.355469  18.819296
6   2022062412  17.25 -109.0625  994.784063  21.265823
7   2022062418  17.25 -110.0000  996.488516  76.093230
8   2022062500  17.25 -110.6250  995.641406  78.764123
9   2022062506  17.00 -110.9375  996.301406  84.651426
10  2022062512  17.00 -110.9375  991.940781  83.898763
11  2022062518  17.25 -111.2500  993.995859  75.110941
