    FCST_HR      11/00Z     12/00Z     13/00Z     14/00Z       mean
0       0.0    8.356622   3.708635   9.425163  19.048454  10.134718
1       6.0    2.906634  21.831228   9.995867   8.657881  10.847902
2      12.0   15.028873   4.710349  17.674803  18.923376  14.084350
3      18.0   10.005059  29.673622  15.690776  12.975042  17.086125
4      24.0   19.971236  44.486140  27.728127        NaN  30.728501
5      30.0   56.866227  29.715031  31.457095        NaN  39.346118
6      36.0   58.058771  38.892231  45.499087        NaN  47.483363
7      42.0   71.693880  23.524327  54.844964        NaN  50.021057
8      48.0   92.516586  37.238222        NaN        NaN  64.877404
9      54.0   94.469710  44.732361        NaN        NaN  69.601035
10     60.0  102.630563  49.842141        NaN        NaN  76.236352
11     66.0  102.593709  50.631516        NaN        NaN  76.612612
12     72.0   90.128368        NaN        NaN        NaN  90.128368
13     78.0   86.107964        NaN        NaN        NaN  86.107964
14     84.0   84.765609        NaN        NaN        NaN  84.765609
15     90.0   63.149478        NaN        NaN        NaN  63.149478
