    valid_time    lat       lon      min_slp     trk_err
0   2022071100  14.50 -120.0000  1007.794062    8.356622
1   2022071106  14.50 -121.2500  1009.927422    2.906634
2   2022071112  14.75 -122.8125  1005.625547   15.028873
3   2022071118  14.75 -124.3750  1006.480781   10.005059
4   2022071200  15.00 -125.6250  1005.234609   19.971236
5   2022071206  15.50 -126.8750  1008.761797   56.866227
6   2022071212  15.50 -128.4375  1005.942031   58.058771
7   2022071218  15.50 -129.6875  1008.382344   71.693880
8   2022071300  15.75 -130.9375  1007.188125   92.516586
9   2022071306  15.75 -132.1875  1009.005234   94.469710
10  2022071312  16.00 -133.4375  1007.789375  102.630563
11  2022071318  16.25 -134.6875  1010.102031  102.593709
12  2022071400  16.50 -136.2500  1009.297422   90.128368
13  2022071406  16.50 -137.5000  1010.987578   86.107964
14  2022071412  16.75 -138.7500  1010.497813   84.765609
15  2022071418  16.75 -140.3125  1012.600234   63.149478
