    valid_time    lat       lon      min_slp    trk_err
0   2022071300  14.50 -131.8750  1003.253672   9.425163
1   2022071306  14.50 -133.4375  1004.106094   9.995867
2   2022071312  14.75 -135.0000  1000.137656  17.674803
3   2022071318  15.00 -136.2500  1004.005156  15.690776
4   2022071400  15.25 -137.8125   999.922188  27.728127
5   2022071406  15.50 -139.0625  1001.954453  31.457095
6   2022071412  15.75 -140.3125  1003.286641  45.499087
7   2022071418  16.00 -141.5625  1006.151250  54.844964
8   2022071500  16.25 -142.8125  1007.624688  69.354106
9   2022071506  16.00 -144.3750  1010.035547  85.538173
10  2022071512  16.25 -145.6250  1008.650781  76.161838
11  2022071518  16.25 -146.8750  1011.832500  81.175506
