    valid_time    lat       lon      min_slp     trk_err
0   2022071600  13.25 -102.1875  1007.377813   13.132756
1   2022071606  13.50 -102.5000  1008.509141   26.414383
2   2022071612  13.75 -103.7500  1003.161953   48.250446
3   2022071618  14.25 -104.6875  1002.174062   65.688929
4   2022071700  14.50 -105.6250   996.619141   50.154794
5   2022071706  14.75 -106.2500   994.149688   45.383802
6   2022071712  15.00 -107.1875   991.220312   45.744370
7   2022071718  15.25 -107.8125   993.089141   49.061720
8   2022071800  15.75 -108.4375   988.806563   78.458575
9   2022071806  16.00 -109.0625   986.081719   83.163218
10  2022071812  16.50 -110.0000   980.336719   75.810997
11  2022071818  17.00 -111.2500   986.992266   73.575615
12  2022071900  17.25 -112.1875   983.762344   81.799046
13  2022071906  17.50 -113.1250   985.024219   63.353977
14  2022071912  18.00 -114.3750   980.654141   61.463891
15  2022071918  18.50 -115.6250   982.604688   66.995664
16  2022072000  19.00 -116.8750   982.993750   72.023939
17  2022072006  19.25 -118.4375   985.686094   69.281227
18  2022072012  19.75 -120.0000   986.558281  101.009264
19  2022072018  19.75 -121.2500   991.333438  102.691950
20  2022072100  20.00 -122.5000   992.966406  126.126168
21  2022072106  20.00 -123.7500   999.622187  156.117677
