    valid_time    lat       lon      min_slp    trk_err
0   2022071900  18.50 -113.4375   994.979531  30.760229
1   2022071906  18.50 -114.3750   994.638516  11.636651
2   2022071912  18.75 -115.6250   994.537109  29.996983
3   2022071918  19.00 -117.1875   993.585312  53.466973
4   2022072000  19.25 -118.4375   991.744375  73.966936
5   2022072006  19.50 -119.6875   997.027031  73.685535
6   2022072012  19.75 -120.6250   994.172344  75.113227
7   2022072018  20.00 -121.5625   998.420234  84.089747
8   2022072100  20.50 -122.5000   999.927969  72.920123
9   2022072106  20.75 -123.7500  1003.026719  81.109263
10  2022072112  21.00 -124.6875  1002.936406  97.639205
11  2022072118  21.00 -125.6250  1006.835625  80.815574
