    FCST_HR      28/00Z      29/00Z      30/00Z      31/00Z      1/00Z
0       0.0   24.018104   21.481176   33.364338    8.805484   7.764580
1       6.0   12.553848   28.945567   27.728127    5.224934  23.250430
2      12.0   15.859390   38.098539   28.162065   15.415251  23.522274
3      18.0   36.056787   45.740144   33.095369   24.208731  29.196217
4      24.0   47.573051   26.625174   43.492420   24.256804  26.254166
5      30.0   58.608115   41.837766   51.847210   59.706853  36.861861
6      36.0   31.863386   33.368234   63.273709   92.827037        NaN
7      42.0   53.577514   43.218628   82.448687  114.913129        NaN
8      48.0   37.012256   47.611685   84.929649  130.632296        NaN
9      54.0   54.156116   52.405356   97.496626  140.782603        NaN
10     60.0   72.761601   45.889187  109.463529         NaN        NaN
11     66.0   48.084750   53.956149   97.618702         NaN        NaN
12     72.0   67.040197   69.773142   79.430123         NaN        NaN
13     78.0   78.176706   73.319993   90.461653         NaN        NaN
14     84.0   85.264253   91.150599         NaN         NaN        NaN
15     90.0   90.347996  102.859741         NaN         NaN        NaN
16     96.0   99.198263   99.835340         NaN         NaN        NaN
17    102.0  123.977437  111.092366         NaN         NaN        NaN
18    108.0  154.321134         NaN         NaN         NaN        NaN
19    114.0  146.801275         NaN         NaN         NaN        NaN
20    120.0  156.404641         NaN         NaN         NaN        NaN
