    valid_time    lat       lon      min_slp     trk_err
0   2022073100  17.50 -117.1875   993.984453    8.805484
1   2022073106  18.25 -118.1250   998.158750    5.224934
2   2022073112  19.00 -118.7500   994.090703   15.415251
3   2022073118  19.75 -119.3750   993.524609   24.208731
4   2022080100  20.25 -120.0000   992.545703   24.256804
5   2022080106  20.75 -120.3125   998.518594   59.706853
6   2022080112  21.50 -120.6250   997.611562   92.827037
7   2022080118  22.25 -120.9375  1002.342578  114.913129
8   2022080200  23.25 -121.2500  1002.626016  130.632296
9   2022080206  24.00 -121.8750  1006.543203  140.782603
10  2022080212  24.00 -121.8750  1010.306953  178.249449
11  2022080218  24.00 -122.8125  1013.724531  168.373871
