    FCST_HR      08/00Z     09/00Z     10/00Z     11/00Z
0       0.0    2.855322  12.721409  11.356928  15.073703
1       6.0   22.024615   7.322759   4.076738  15.073703
2      12.0   35.941502  21.119176  14.215685        NaN
3      18.0   37.503489  29.208765   3.641386        NaN
4      24.0   46.358426  32.027421  15.073945        NaN
5      30.0   53.132570  33.885743  15.073945        NaN
6      36.0   74.415695  28.842083        NaN        NaN
7      42.0   81.443737  19.465263        NaN        NaN
8      48.0   80.327740  15.073945        NaN        NaN
9      54.0  105.378304  15.073945        NaN        NaN
10     60.0  153.100792        NaN        NaN        NaN
