    FCST_HR      08/00Z     09/00Z     10/00Z     11/00Z        mean
0       0.0    2.855322  12.721409  11.356928  15.073703   10.501840
1       6.0   22.024615   7.322759   4.076738  15.073703   12.124454
2      12.0   35.941502  21.119176  14.215685        NaN   23.758788
3      18.0   37.503489  29.208765   3.641386        NaN   23.451213
4      24.0   46.358426  32.027421  15.073945        NaN   31.153264
5      30.0   53.132570  33.885743  15.073945        NaN   34.030753
6      36.0   74.415695  28.842083        NaN        NaN   51.628889
7      42.0   81.443737  19.465263        NaN        NaN   50.454500
8      48.0   80.327740  15.073945        NaN        NaN   47.700843
9      54.0  105.378304  15.073945        NaN        NaN   60.226125
10     60.0  153.100792        NaN        NaN        NaN  153.100792
