    FCST_HR     05/00Z     06/00Z     07/00Z     08/00Z
0       0.0  13.558239   8.845325  17.623324  13.846891
1       6.0  48.913117  25.475237  28.345098  15.852668
2      12.0  18.371775  38.266670  41.202490        NaN
3      18.0  36.056128  44.861481  55.199489        NaN
4      24.0   8.845325   8.516086  51.647848        NaN
5      30.0  36.206769  28.345098  49.390930        NaN
6      36.0  82.118556  41.713158        NaN        NaN
7      42.0  79.303922  55.199489        NaN        NaN
8      48.0  53.320765  92.455751        NaN        NaN
9      54.0  55.803763  89.375407        NaN        NaN
10     60.0  47.469133        NaN        NaN        NaN
11     66.0  75.480967        NaN        NaN        NaN
12     72.0  60.649518        NaN        NaN        NaN
13     78.0  82.707002        NaN        NaN        NaN
